Time:ulong,Power:float,Energy:float
"14669000000","13.42737","73883.5"
"14669500000","13.42737","73890.2"
"14670000000","13.42737","73896.9"
"14670500000","13.42737","73903.6"
"14671000000","13.42737","73910.3"
"14671500000","13.42737","73917.0"
"14672000000","13.42737","73923.8"
"14672500000","13.42737","73930.5"
"14673000000","13.42737","73937.2"
"14673500000","13.42737","73943.9"
"14674000000","13.42737","73950.6"
"14674500000","13.42737","73957.3"
"14675000000","13.42737","73964.0"
"14675500000","13.42737","73970.8"
"14676000000","13.25016","73977.1"
"14676500000","13.25016","73983.8"
"14677000000","13.25016","73990.5"
"14677500000","13.25016","73997.3"
"14678000000","13.42737","74004.0"
"14678500000","13.42737","74010.7"
"14679000000","13.42737","74017.4"
"14679500000","13.42737","74024.1"
"14680000000","13.42737","74030.8"
"14680500000","13.42737","74037.5"
"14681000000","13.42737","74044.3"
"14681500000","13.42737","74051.0"
"14682000000","13.42737","74057.7"
"14682500000","13.42737","74064.4"
"14683000000","13.42737","74071.1"
"14683500000","13.42737","74077.8"
"14684000000","13.42737","74084.5"
"14684500000","13.42737","74091.2"
"14685000000","13.42737","74098.0"
"14685500000","13.42737","74104.7"
"14686000000","13.42737","74111.4"
"14686500000","13.42737","74118.1"
"14687000000","13.42737","74124.8"
"14687500000","13.42737","74131.5"
"14688000000","13.42737","74138.2"
"14688500000","13.42737","74145.0"
"14689000000","13.42737","74151.7"
"14689500000","13.42737","74158.4"
"14690000000","13.42737","74165.1"
"14690500000","13.42737","74171.8"
"14691000000","13.42737","74178.5"
"14691500000","13.42737","74185.2"
"14692000000","13.42737","74192.0"
"14692500000","13.42737","74198.7"
"14693000000","13.42737","74205.4"
"14693500000","13.42737","74212.1"
"14694000000","13.25016","74218.8"
"14694500000","13.25016","74225.5"
"14695000000","13.25016","74232.2"
"14695500000","13.25016","74238.6"
"14696000000","13.42737","74245.3"
"14696500000","13.42737","74252.0"
"14697000000","13.42737","74258.7"
"14697500000","13.42737","74265.4"
"14698000000","13.42737","74272.2"
"14698500000","13.42737","74278.9"
"14699000000","13.42737","74285.6"
"14699500000","13.42737","74292.3"
"14700000000","13.42737","74299.0"
"14700500000","13.42737","74305.7"
"14701000000","13.42737","74312.4"
"14701500000","13.42737","74319.2"
"14702000000","13.42737","74325.9"
"14702500000","13.42737","74332.6"
